name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,5516,,3014,2053,1,7.28,2,120,,connector,20,"LINESTRING (-111.9356660 33.4256278, -111.9357042 33.4256851)",auto;bike;walk,1,0,,
,5517,,2053,3014,1,7.28,2,120,,connector,20,"LINESTRING (-111.9357042 33.4256851, -111.9356660 33.4256278)",auto;bike;walk,1,0,,
,5518,,3015,2050,1,10.02,2,120,,connector,20,"LINESTRING (-111.9363482 33.4257025, -111.9362433 33.4256817)",auto;bike;walk,1,0,,
,5519,,2050,3015,1,10.02,2,120,,connector,20,"LINESTRING (-111.9362433 33.4256817, -111.9363482 33.4257025)",auto;bike;walk,1,0,,
,5520,,3016,2051,1,8.85,2,120,,connector,20,"LINESTRING (-111.9360900 33.4257141, -111.9361775 33.4256825)",auto;bike;walk,1,0,,
,5521,,2051,3016,1,8.85,2,120,,connector,20,"LINESTRING (-111.9361775 33.4256825, -111.9360900 33.4257141)",auto;bike;walk,1,0,,
,5522,,3017,2043,1,6.21,2,120,,connector,20,"LINESTRING (-111.9358665 33.4257202, -111.9358134 33.4256862)",auto;bike;walk,1,0,,
,5523,,2043,3017,1,6.21,2,120,,connector,20,"LINESTRING (-111.9358134 33.4256862, -111.9358665 33.4257202)",auto;bike;walk,1,0,,
,5524,,3018,2053,1,10.94,2,120,,connector,20,"LINESTRING (-111.9355867 33.4256907, -111.9357042 33.4256851)",auto;bike;walk,1,0,,
,5525,,2053,3018,1,10.94,2,120,,connector,20,"LINESTRING (-111.9357042 33.4256851, -111.9355867 33.4256907)",auto;bike;walk,1,0,,
,5526,,3019,282,1,5.77,2,120,,connector,20,"LINESTRING (-111.9356033 33.4258915, -111.9355468 33.4259131)",auto;bike;walk,1,0,,
,5527,,282,3019,1,5.77,2,120,,connector,20,"LINESTRING (-111.9355468 33.4259131, -111.9356033 33.4258915)",auto;bike;walk,1,0,,
,5528,,3020,2038,1,11.26,2,120,,connector,20,"LINESTRING (-111.9358560 33.4259113, -111.9359747 33.4258910)",auto;bike;walk,1,0,,
,5529,,2038,3020,1,11.26,2,120,,connector,20,"LINESTRING (-111.9359747 33.4258910, -111.9358560 33.4259113)",auto;bike;walk,1,0,,
,5530,,3021,2038,1,11.69,2,120,,connector,20,"LINESTRING (-111.9360972 33.4259148, -111.9359747 33.4258910)",auto;bike;walk,1,0,,
,5531,,2038,3021,1,11.69,2,120,,connector,20,"LINESTRING (-111.9359747 33.4258910, -111.9360972 33.4259148)",auto;bike;walk,1,0,,
,5532,,3022,1829,1,6.23,2,120,,connector,20,"LINESTRING (-111.9364100 33.4258879, -111.9363598 33.4259251)",auto;bike;walk,1,0,,
,5533,,1829,3022,1,6.23,2,120,,connector,20,"LINESTRING (-111.9363598 33.4259251, -111.9364100 33.4258879)",auto;bike;walk,1,0,,
,5534,,3023,1938,1,12.23,2,120,,connector,20,"LINESTRING (-111.9318337 33.4204622, -111.9317317 33.4205318)",auto;bike;walk,1,0,,
,5535,,1938,3023,1,12.23,2,120,,connector,20,"LINESTRING (-111.9317317 33.4205318, -111.9318337 33.4204622)",auto;bike;walk,1,0,,
,5536,,3024,2013,1,23.68,2,120,,connector,20,"LINESTRING (-111.9404081 33.4181259, -111.9402093 33.4179923)",auto;bike;walk,1,0,,
,5537,,2013,3024,1,23.68,2,120,,connector,20,"LINESTRING (-111.9402093 33.4179923, -111.9404081 33.4181259)",auto;bike;walk,1,0,,
,5538,,3025,2015,1,11.63,2,120,,connector,20,"LINESTRING (-111.9402823 33.4184922, -111.9403000 33.4185960)",auto;bike;walk,1,0,,
,5539,,2015,3025,1,11.63,2,120,,connector,20,"LINESTRING (-111.9403000 33.4185960, -111.9402823 33.4184922)",auto;bike;walk,1,0,,
,5540,,3026,33,1,23.04,2,120,,connector,20,"LINESTRING (-111.9402477 33.4188601, -111.9403000 33.4190633)",auto;bike;walk,1,0,,
,5541,,33,3026,1,23.04,2,120,,connector,20,"LINESTRING (-111.9403000 33.4190633, -111.9402477 33.4188601)",auto;bike;walk,1,0,,
,5542,,3027,2015,1,14.24,2,120,,connector,20,"LINESTRING (-111.9402188 33.4187049, -111.9403000 33.4185960)",auto;bike;walk,1,0,,
,5543,,2015,3027,1,14.24,2,120,,connector,20,"LINESTRING (-111.9403000 33.4185960, -111.9402188 33.4187049)",auto;bike;walk,1,0,,
,5544,,3028,645,1,22.55,2,120,,connector,20,"LINESTRING (-111.9402226 33.4193031, -111.9400398 33.4194368)",auto;bike;walk,1,0,,
,5545,,645,3028,1,22.55,2,120,,connector,20,"LINESTRING (-111.9400398 33.4194368, -111.9402226 33.4193031)",auto;bike;walk,1,0,,
,5546,,3029,645,1,20.34,2,120,,connector,20,"LINESTRING (-111.9402508 33.4193883, -111.9400398 33.4194368)",auto;bike;walk,1,0,,
,5547,,645,3029,1,20.34,2,120,,connector,20,"LINESTRING (-111.9400398 33.4194368, -111.9402508 33.4193883)",auto;bike;walk,1,0,,
,5548,,3030,2383,1,36.18,2,120,,connector,20,"LINESTRING (-111.9295656 33.4201559, -111.9299070 33.4203125)",auto;bike;walk,1,0,,
,5549,,2383,3030,1,36.18,2,120,,connector,20,"LINESTRING (-111.9299070 33.4203125, -111.9295656 33.4201559)",auto;bike;walk,1,0,,
,5550,,3031,1277,1,13.08,2,120,,connector,20,"LINESTRING (-111.9301425 33.4186295, -111.9301426 33.4187475)",auto;bike;walk,1,0,,
,5551,,1277,3031,1,13.08,2,120,,connector,20,"LINESTRING (-111.9301426 33.4187475, -111.9301425 33.4186295)",auto;bike;walk,1,0,,
,5552,,3032,1277,1,14.01,2,120,,connector,20,"LINESTRING (-111.9299978 33.4187824, -111.9301426 33.4187475)",auto;bike;walk,1,0,,
,5553,,1277,3032,1,14.01,2,120,,connector,20,"LINESTRING (-111.9301426 33.4187475, -111.9299978 33.4187824)",auto;bike;walk,1,0,,
,5554,,3033,1332,1,22.75,2,120,,connector,20,"LINESTRING (-111.9295097 33.4185348, -111.9296032 33.4183452)",auto;bike;walk,1,0,,
,5555,,1332,3033,1,22.75,2,120,,connector,20,"LINESTRING (-111.9296032 33.4183452, -111.9295097 33.4185348)",auto;bike;walk,1,0,,
,5556,,3034,1254,1,16.03,2,120,,connector,20,"LINESTRING (-111.9299656 33.4185828, -111.9300757 33.4184715)",auto;bike;walk,1,0,,
,5557,,1254,3034,1,16.03,2,120,,connector,20,"LINESTRING (-111.9300757 33.4184715, -111.9299656 33.4185828)",auto;bike;walk,1,0,,
